path,label,category,group,sizeClass,sizeClassSource,targetHeightUnits,walkableOrSolid,marketplaceEligible,priceCents,priceDollars,priceTier,spinWheelEligible,interactable,needsNewAnimation,interactNote
/world/models/aquarium/anglerfish.glb,Anglerfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/armored-catfish.glb,Armored Catfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/betta.glb,Betta,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/black-lion-fish.glb,Black Lion Fish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/blobfish.glb,Blobfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/blue-goldfish.glb,Blue Goldfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/blue-tang.glb,Blue Tang,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/boat.glb,Boat,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/butterfly-fish.glb,Butterfly Fish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/cardinal-fish.glb,Cardinal Fish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/clownfish.glb,Clownfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/coral-grouper.glb,Coral Grouper,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/cowfish.glb,Cowfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/dock-long-no-rope.glb,Dock Long No Rope,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/dock-long.glb,Dock Long,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/dock-stairs.glb,Dock Stairs,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/dock-wide.glb,Dock Wide,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/fishing-rod-lvl1.glb,Fishing Rod Lvl1,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/fishing-rod-lvl2.glb,Fishing Rod Lvl2,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/fishing-rod-lvl3.glb,Fishing Rod Lvl3,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/fishing-rod-lvl4.glb,Fishing Rod Lvl4,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/fishing-rod-lvl5.glb,Fishing Rod Lvl5,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/flatfish.glb,Flatfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/flower-horn.glb,Flower Horn,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/goblin-shark.glb,Goblin Shark,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/goldfish.glb,Goldfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/humphead.glb,Humphead,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/koi.glb,Koi,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lionfish.glb,Lionfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lure-1.glb,Lure 1,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lure-2.glb,Lure 2,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lure-3.glb,Lure 3,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lure-4.glb,Lure 4,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lure-5.glb,Lure 5,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/lure-6.glb,Lure 6,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/mandarin-fish.glb,Mandarin Fish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/moorish-idol.glb,Moorish Idol,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/parrot-fish.glb,Parrot Fish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/piranha.glb,Piranha,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/puffer.glb,Puffer,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/red-snapper.glb,Red Snapper,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/royal-gramma.glb,Royal Gramma,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/shark.glb,Shark,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/sunfish.glb,Sunfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/swordfish.glb,Swordfish,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/tang.glb,Tang,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/tetra.glb,Tetra,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
/world/models/aquarium/tuna.glb,Tuna,aquarium,Nature & Animals,smallObject,category-fallback,0.698,walkable (walk-through),yes,150,1.50,paid,yes,yes,no,static click-to-collect
